Epoch,TrainAcc,ValAcc,Loss
1,47.2,56,0.0443722
2,47.7,46,0.0437062
3,47.6,46,0.0437463
4,45.7,46,0.043669
5,47.4,53,0.0434728
6,46,46,0.0435084
7,48.3,49,0.0434349
8,48.3,54,0.0433875
9,47.4,49,0.0433883
10,47.8,49,0.0433759
11,47.8,46,0.0433738
12,48.2,44,0.0433666
13,48.1,46,0.0433567
14,48.5,51,0.0433427
15,48.7,51,0.0433261
16,48.6,64,0.0433076
17,49.6,61,0.0432856
18,49.5,53,0.043252
19,50.7,59,0.0431808
20,53.3,59,0.0429387
21,52.4,62,0.0425094
22,55.9,62,0.0414113
23,64.1,73,0.0394526
24,69.4,74,0.0369138
25,74.7,74,0.034102
26,79.5,80,0.0306742
27,86,86,0.0261436
28,95.5,96,0.0194628
29,98.9,100,0.0123911
